PLT_IND_DTM,RELATED_SCAN_WC,WORK_CENTRE_NAME_EN,TOTAL_PROCESSED,PROCESSED_OT,PROCESSED_LATE
2023/03/03,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1105,772,50
2023/04/14,800509,TORONTO GW BMF / LPS 1021,16500,13747,2222
2022/08/11,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,1201,828,46
2022/11/04,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1631,1421,34
2021/06/09,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1,1,0
2022/12/29,800509,TORONTO GW BMF / LPS 1021,37656,23079,12680
2022/05/25,990715,ST. JOHN'S / ILS OH4011,7,0,0
2022/04/22,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,1,0,1
2022/06/08,800509,TORONTO GW BMF / LPS 1021,18622,16213,1829
2022/08/02,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1315,1199,67
2022/12/15,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,2013,1562,256
2022/10/28,990715,ST. JOHN'S / ILS OH4011,4,0,0
2023/02/08,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,2476,1199,437
2022/12/01,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,1730,710,897
2022/11/16,862380,TORONTO GW BMF / EUS SS 1023,26389,15816,9043
2022/05/05,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,2120,1593,55
2023/01/19,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,948,807,37
2021/11/30,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,1,1,0
2022/07/05,800214,ST JOHN'S / ILC 1240,258,226,2
2023/04/25,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,1879,1113,323
2022/09/29,862380,TORONTO GW BMF / EUS SS 1023,23122,17292,4349
2021/06/14,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,1,0,0
2022/08/10,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1543,1216,124
2023/02/02,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,950,672,51
2022/09/14,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,1227,864,53
2023/03/08,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1671,1204,112
2023/02/17,800214,ST JOHN'S / ILC 1240,839,675,159
2022/12/05,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,1192,1075,78
2022/12/13,800509,TORONTO GW BMF / LPS 1021,35698,21220,12624
2022/04/06,800509,TORONTO GW BMF / LPS 1021,15,5,6
2022/05/17,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,1702,1002,268
2021/12/06,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,2,2,0
2022/12/16,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,1371,1163,154
2022/06/23,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1074,789,50
2022/04/22,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,6,2,3
2022/07/12,990715,ST. JOHN'S / ILS OH4011,6,0,0
2022/07/08,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1138,869,43
2023/02/24,862380,TORONTO GW BMF / EUS SS 1023,23459,14882,7827
2022/04/27,800214,ST JOHN'S / ILC 1240,47,43,0
2023/04/03,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,906,844,36
2023/05/11,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,737,471,13
2022/11/21,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,801,768,12
2022/06/10,800214,ST JOHN'S / ILC 1240,193,177,3
2022/04/26,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,6,3,0
2022/06/10,990706,BSS 1330 ST JOHN'S ORIGINATING,372,164,48
2022/06/03,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,1303,1069,19
2022/06/08,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1255,952,29
